2023-08-15 20:31:51.043 [restartedMain] INFO  c.m.c.a.v.factory.AuthenticationValidatorFactory getAuthenticationValidator-32 : 认证地址：E:/801/DMP6.5.0.0/key
2023-08-15 20:31:51.044 [restartedMain] INFO  c.m.c.a.v.factory.AuthenticationValidatorFactory getAuthenticationValidator-39 : 认证模式：L 
2023-08-15 20:31:51.045 [restartedMain] INFO  c.m.c.a.validator.AuthenticationLocalValidator validate-25 : 本地认证开始......
2023-08-15 20:31:51.047 [restartedMain] INFO  c.m.authentication.module.common.auth.AuthValiator validate-46 : 证书校验开始......
2023-08-15 20:31:51.067 [restartedMain] INFO  c.m.authentication.module.common.auth.AuthValiator validate-49 : 校验IPMAC......
2023-08-15 20:31:51.084 [restartedMain] INFO  c.m.authentication.module.common.auth.AuthValiator isIpmacOk-113 : 当前产品为临时版，不限制IP和MAC地址
2023-08-15 20:31:51.084 [restartedMain] INFO  c.m.authentication.module.common.auth.AuthValiator validate-55 : 校验日期......
2023-08-15 20:31:51.202 [restartedMain] INFO  c.m.authentication.module.common.auth.AuthValiator isAppServerIpMacOk-189 : 当前产品为临时版，不限制应用服务器的IP和MAC地址
2023-08-15 20:31:51.202 [restartedMain] INFO  c.m.c.a.validator.AuthenticationLocalValidator validate-34 : 本地认证中......com.meritdata.authentication.module.common.model.ResultModel@d38453d
2023-08-15 20:31:51.203 [restartedMain] INFO  c.m.c.a.validator.AuthenticationLocalValidator validate-38 : 本地认证完成......
